affiliation,result
"Government Big Data Institute, Bangkok, Thailand","Bangkok, Thailand"
"Academy of Army Armored Force Beijing, China","Beijing, Beijing Shi, China"
"Army Academy of Armored Forces Beijing, China","Beijing, Beijing Shi, China"
"Academy of Army Armored Forces Beijing, China","Beijing, Beijing Shi, China"
"Universidad de La Frontera, Temuco, CL","Universidad de La Frontera, Francisco Salazar 01145, 481 1161 Temuco, Chile"
"“Camilo Cienfuegos”, WaKe Research Universidad de Matanzas, Cuba","Matanzas, Cuba"
"University of Alicante, San Vicente del Raspeig, Spain","San Vicent del Raspeig, Valencia, Spain"
"ANLI PARTNERS Beijing, China","Beijing, Beijing Shi, China"
"Hangzhou Power Supply Company Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"Guangxi Normal University Guilin, China","541001 China, Guangxi, Xiufeng District, Xiufeng Subdistrict, 正阳路, Guangxi Normal University"
"Dhurakij Pundit University Bangkok, Thailand","Bangkok, Thailand"
"Stratebi Business Solutions Ltd., Madrid, Spain","Madrid, Spain"
"Lucentia Research Group University of Alicante, San Vicente del Raspeig, Alicante, Spain","San Vicent del Raspeig, Valencia, Spain"
"Alicante Institute for Health and Biomedical Research (ISABIAL), Alicante, Spain","Alicante, Valencia, Spain"
"Lucentia Research Group University of Alicante, Sant Vicente del Raspeig, Alicante, Spain","Alicante, Valencia, Spain"
"Shenzhen University Shenzhen, China","518060 China, Guangdong Province, Nanshan District, Nantou Sub-district, Nanhai Boulevard 3688, Shenzhen University"
"Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ), Shenzhen, China","Shenzhen, China"
"Shanxi University of Finance and Economics, Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"LTD Nanjing, Jiangsu, China","Nanjing, Jiangsu Sheng, China"
"Security of State Grid Smart Grid Research Institute Co. LTD, Nanjing, Jiangsu, China","Nanjing, Jiangsu Sheng, China"
"Changchun University of Science and Technology Changchun Jilin, China","130000 China, Jilin, Changchun City, Qinghe Subdistrict, 西朝阳南胡同, Jilin University (Chaoyang Campus)"
"Changchun University of Science and Technology Changchun, China","130000 China, Jilin, Changchun City, Qinghe Subdistrict, 西朝阳南胡同, Jilin University (Chaoyang Campus)"
"Changchun Jilin, China","Changchun City, Jilin, China"
"hangchun University of Science and Technology Changchun, China","Changchun, Changchun Shi, China"
"Officers College of PAP, Chengdu, China","China, Sichuan, Shuangliu District, Huayang, Jingxiao Road 1st Section, Officers college of PAP"
"Sutcu Imam University Faculty of Engineering and Architecture, Kahramanmaraş, Türkiye","Kahramanmaraş, Kahramanmaras, Turkey"
"University of California Santa Barbara, USA","University of California, Santa Barbara, 552 Sally Port, Santa Barbara, CA 93106, United States of America"
"Engineering Faculty Gazi University, Ankara, Türkiye","Gazi University Engineering Faculty, Yükseliş Sk. 5, 06570 Çankaya, Turkey"
"Structural Materials Niskayuna, NY, USA","Schenectady, New York, United States of America"
"Additive Technologies Niskayuna, NY, USA","Technology Dr, Schenectady, NY, United States of America"
"University of Ibn Tofail Kenitra, Morocco","Kenitra, Morocco"
"Ibn Tofail University Kenitra, Morocco","Kenitra, Morocco"
"Traitement de l’information Mécanique et Energétique, Département de Physique, Faculté des Sciences, Université Ibn Tofail, Kénitra, Morocco","Traitement de l’information Mécanique et Energétique, Département de Physique, Faculté des Sciences, Université Ibn Tofail, Kénitra, Morocco"
"Academy of The National Territorial Planning, Heilongjiang, P. R. China",China
"Beijing University of Civil Engineering and Architecture, Beijing, China","102401 China, Beijing, Daxing District, 1号楼出口, Beijing University of Civil Engineering and Architecture"
"Information Center of Ministry of Natural Resources of P.R. China, Beijing, China","Beijing, Beijing Shi, China"
"Information Center of Ministry of Natural Resources, Beijing, China","Beijing, Beijing Shi, China"
"Shenzhen Technology University Shenzhen, China","518118 China, Guangdong Province, Pingshan District, Shijing Sub-district, Lantian Road, Shenzhen Technology University"
"Jiangsu Academy of Safety Science and Technology Nanjing, China","Nanjing, Jiangsu Sheng, China"
"ltd Nanjing, China","Nanjing Nangang Industrial Development Co., Ltd. Power Project, Jiangbei New Area, Jiangsu, China"
"Big Data Research Center Najafabad Branch Islamic Azad University, Najafabad, Iran","Najafābād, Isfahan, Iran"
"Najafabad branch Islamic Azad University, Najafabad, Isfahan, Iran","Najafābād, Isfahan, Iran"
"Dalian Neusoft Inst. of Inf., Dalian, China","Dalian, Dalian Shi, China"
"Department of Information Systems, City University of Hong Kong, Hong Kong",Hong Kong
"City Univ. of Hong Kong Hong Kong, China","000000 China, Hong Kong, Sham Shui Po District, Shek Kip Mei, Tat Chee Avenue, City University of Hong Kong"
"Amity University UP, India","Amity University, East End Lake Road, Lucknow District, Chinhat - 227105, Uttar Pradesh, India"
"Amity University, Noida, India","Amity University, Noida, Noida-Greater Noida Expressway, Gautam Buddha Nagar District, Dadri - 201313, Uttar Pradesh, India"
,
"International Research Center of Big Data for Sustainable Development Goals, Beijing, China","Beijing, Beijing Shi, China"
"Aerospace Information Research Institute Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"Chinese Academy of Sciences Beijing, China","100824 China, Beijing, Yuetan, Sanlihe Road 52, Chinese Academy of Sciences"
"College of Computer Science and Software Engineering Shenzhen University, Shenzhen, China","Shenzhen, China"
"State Grid Corporation of China, Beijing, China","101422 China, Beijing, Huairou District, Quanhe, Jingmi Expressway, State Grid Corporation of China"
"State Grid Anhui Electric Power Co. Ltd, Hefei, China","Hefei, Anhui Sheng, China"
"Ltd. Beijing, China","Beijing Economic and Technological Development Area, Daxing District, Beijing, China"
"Beijing State Grid Xintong Accenture Information Technology Co. Ltd, Beijing, China","Beijing, Beijing Shi, China"
"Foshan Polytechnic Foshan, China","Foshan, Guangdong, China"
"Sichuan Normal University Chengdu, China","610066 China, Sichuan, Chengdu, Shizishan, 菱安路, Sichuan Normal University"
"Harbin Institute of Technology Harbin, China","150000 China, Heilongjiang, Harbin, Songhuajiang, Haicheng Street, Harbin Institute of Technology"
"PCCOE Pune, India","Pimpri Chinchwad College Of Engineering, Krantisinha Nana Patil Road, Pune District, Pimpri-Chinchwad - 412110, Maharashtra, India"
"Vaddeswaram AP, India","Guntur, Vaddeswaram - 522502, Andhra Pradesh, India"
"Huazhong Agricultural University Wuhan, China Hubei Engineering Technology, Research Center of Agricultural, Big Data, Wuhan, China","Huazhong Agricultural University Wuhan, China Hubei Engineering Technology, Research Center of Agricultural, Big Data, Wuhan, China"
"Huazhong Agricultural University Wuhan, China","430070 China, Hubei, Hongshan District, 狮子山街道, 狮子山大道 1, Huazhong Agricultural University"
"Huazhong Agricultural University Wuhan Hubei, China","430070 China, Hubei, Hongshan District, 狮子山街道, 狮子山大道 1, Huazhong Agricultural University"
"Army Officer Academy Hefei, China","Hefei, Anhui Sheng, China"
"Ltd Shanghai, China","Shanghai Tobacco Machinery Co., Ltd., Pudong, Shanghai, China"
"Sichuan University Chengdu, china","China, Sichuan, Shuangliu District, Xihanggang, Huanghe South Road, Sichuan University (Jiang'an Campus)"
"College of Business and Economics, California State University-Los Angeles, Los Angeles","Lagos, Nigeria"
"Department of Information Systems, California State University, Los Angeles","Los Angeles, California, United States of America"
"Concordia University Montreal, Quebec, Canada","Concordia University (SGW Campus), Crescent Street, Montreal, QC H3G 2B6, Canada"
"Hosei University Tokyo, Japan","Tokyo, Tōkyō, Japan"
"Guangdong Peizheng College, Guangzhou, China","Guangzhou, Guangdong, China"
"Chongqing College of Electronic Engineering Chongqing, China","401331 China, Chongqing, Shapingba District, Chenjiaqiao, Shengde Road, Chongqing College of Electronic Engineering"
"Chongqing College of electronic engineering Chongqing, China","401331 China, Chongqing, Shapingba District, Chenjiaqiao, Shengde Road, Chongqing College of Electronic Engineering"
"Shandong University of Political Science and Law Jinan, China","Jinan, Shandong Sheng, China"
"Big Data Institute Shenzhen University, Shenzhen, China","Shenzhen, China"
"State Grid Xinjiang Electric Power Co. Ltd., Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"State Grid Xinjiang Power Co. Ltd. Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"LTD Information and Telecommunication Company, Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"Ltd. Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"Huazhong University of Science and Technology Wuhan, China","430074 China, Hubei, Hongshan District, 关东街道, 珞喻路 1037号, Huazhong University of Science and Technology"
"Manav Rachna International Institute of Research and Studies Faridabad, India","Farīdābād, Faridabad District, India"
"Manipal University Jaipur Jaipur, Rajasthan","Manipal University Jaipur, GHs Footpath, Jaipur District, Dahmi Kalan - 303007, Rajasthan, India"
"College of Information and Electrical Engineering, China Agricultural University","University, Lafayette County, Mississippi, United States of America"
"Beijing University of Technology Beijing, China","100122 China, Beijing, Chaoyang District, 艺术广场, Beijing University of Technology"
"University of Chinese Academy of Sciences, Beijing, China","100101 China, Beijing, Chaoyang District, 林萃东路, University of Chinese Academy of Sciences (Olympic Village Campus)"
"Institute of Computing Technology Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"Test Resource Management Center (TRMC) Alexandria, VA","Alexandria, Virginia, United States of America"
"Naval Air Systems Command (NAVAIR) Arlington, VA","Newville Rd, Disputanta, VA, United States of America"
"Syracuse University Syracuse, United States","110 Fineview Place, City of Syracuse, NY 13210, United States of America"
"Environmental Sciences Division Oak Ridge National Laboratory, Oak Ridge, TN, USA","E Division Rd, Oak Ridge, TN, United States of America"
"Environmental Sciences Division Oak Ridge,Tennessee,USA","E Division Rd, Oak Ridge, TN, United States of America"
"Bhagalpur University Bhagalpur, India","Bhāgalpur, India"
"Policy and Management, Delft University of Technology, Delft, The Netherlands","Delft, Netherlands"
"Tilburg University Tilburg, The Netherlands","Tilburg University, Professor Cobbenhagenlaan, 5037 DW Tilburg, Netherlands"
"Delft University of Technology Delft, Nethderlands","Delft University of Technology Delft, Nethderlands"
"Beijing University of Chinese Medicine Beijing, China","100029 China, Beijing, Chaoyang District, Hepingjie, 北三环东路 11号, Beijing University of Chinese Medicine West Campus"
"Henan University Kaifeng, China","China, Henan, Shunhe Hui District, Tieta Subdistrict, Xiyue Road, Henan University (Minglun Campus)"
"Kaifeng Henan, China","Bafucun, Xiangfu District, China"
"Henan University Kaifeng, Henan, China","China, Henan, Shunhe Hui District, Tieta Subdistrict, Xiyue Road, Henan University (Minglun Campus)"
"Harbin Guangsha University, Harbin, China","Harbin, Heilongjiang Sheng, China"
"Guangzhou City University of Technology, Guangzhou, China","China, Guangdong Province, Huadu District, Xiuquan, Xuefu Road, Guangzhou City University of Technology"
"Tunxi Anhui, China","Huangshan, Tunxi District, China"
"Zhejiang Gongshang University Hangzhou, China","310012 China, Zhejiang, Hangzhou, Xixi, Jiaogong Road 149号, Zhejiang Gongshang University"
"Chunghwa Telecom Laboratories Taoyuan, Taiwan","Taoyuan, Taiwan"
"Guangzhou Nanyang Polytechnic, Guangzhou, China","Guangzhou, Guangdong, China"
"Chengdu Polytechnic Chengdu, PR China",China
"Institute of Advanced Study and School of Business Chengdu University, Chengdu, China","Chengdu, Sichuan Sheng, China"
"Shandong Technician College of Water Conservancy Zibo, China","Zibo, Shandong Sheng, China"
"Director of Chongqing Artificial Intelligence Association Chongqing, China","Chongqing Shi, China"
"Shenyang Ligong University, Liaoning, China","110159 China, Liaoning, Shenyang City, Wusan, 新新斜路 6号, Shenyang Ligong University"
"Sichuan Agricultural University, Sichuan, China","611130 China, Sichuan, Wenjiang District, Gongping, 天乡路一段 211号, Sichuan Agricultural University (Chengdu Campus)"
"Shanghai University of Finance and Economics, Shanghai, China","200433 China, Shanghai, Yangpu District, Wujiaochang, Guoding Road, Shanghai University of Finance and Economics"
"Shandong Vocational College of Science and Technology, Weifang, China","Weifang, Shandong Sheng, China"
"Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China","Jiaxing, Zhejiang Sheng, China"
"Peking University Beijing, China","100871 China, Beijing, Haidian District, 颐和园路 5号, Peking University"
"San Jose CA, USA","San Jose, California, United States of America"
"San José State University, San Jose, USA","San José State University, 1 South 7th Street, San Jose, CA 95192, United States of America"
Pacific Northwest National Laboratory,Pacific Northwest National Laboratory
"University of Washington, United States","University of Washington, Ravenna Avenue Northeast, Seattle, WA 98015, United States of America"
"UTM Johor Bahru, Malaysia","Perumahan Staf UTM Desa Skudai, Jalan Sejahtera 16, Taman Universiti, 81380 Iskandar Puteri, Johor, Malaysia"
"Universiti Teknologi Malaysia Johor, Malaysia","University of Technology, Malaysia, Jalan Iman, 81310 Iskandar Puteri, Johor, Malaysia"
"University of Copenhagen Copenhagen, Denmark","University of Copenhagen, Fiolstræde, 1172 København K, Denmark"
"Beijing Jiaotong University Beijing, China","100044 China, Beijing, Haidian District, Beixiaguan, 红果园路, Beijing Jiaotong University"
"Guangdong Ocean University Zhanjiang, China","China, Guangdong Province, Xiashan District, Minzhi Road, Guangdong Ocean University Xiashan Campus"
"Wuhan University of Technology Wuhan, China","430063 China, Hubei, Wuchang District, 杨园街道, 和平大道 1178, Wuhan University of Technology"
"Ltd Kunming, China","650000 China, Yunnan, Kunming, Qingyun Subdistrict, Beichen Avenue, Kunming Cellulose Fibers CO LTD"
"Network Information Center of Yunnan State Grid Company, Kunming, China","Kunming, Yunnan, China"
"Qiangdao University Qingdao, China","Qingdao, Shandong Sheng, China"
"Dallas TX, USA","Dallas, Texas, United States of America"
"Open University of Catalonia Barcelona, Spain","Barcelona, Catalonia, Spain"
"Gongqingcheng Jiangxi, China","China, Jiangxi, Gongqingcheng City, Gongqingcheng, Chashan Subdistrict, 发展大道"
"The University of North Texas Denton, Texas, USA","E University Dr, Denton, TX, United States of America"
"Information Construction and Service Center Northwest Mizu University, Lanzhou, China","Lanzhou, Gansu Sheng, China"
"Yunnan Technology and Business University, Kunming, China","Kunming, Yunnan, China"
"Key Laboratory of Industrial Equipment Quality Big Data MIIT The 5th Electronics Research Institute, MIIT, Guangzhou, China","Key Laboratory of Industrial Equipment Quality Big Data MIIT The 5th Electronics Research Institute, MIIT, Guangzhou, China"
"MIIT Guangzhou, China","Guangzhou, Guangdong, China"
China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI),China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI)
"Key Laboratory of Industrial Equipment Quality Big Data MIIT, Guangzhou, China","Guangzhou, Guangdong, China"
"Beijing Key Lab of Green Development Decision Based on Big Data, Beijing, China","Beijing Key Lab of Green Development Decision Based on Big Data, Beijing, China"
"Beijing Information Science & Technology University Beijing, China","Beijing, Beijing Shi, China"
"Dong-A University Busan, Korea","Busan, South Korea"
"SDS Ltd Busan, Korea","Busan, South Korea"
"ILP, Seoul National University of Science & Technology","ILP, Seoul National University of Science & Technology"
"Cooperate Lottery Institute, Seoul, South Korea","Seoul, South Korea"
"SeoulTech Unv., Seoul, South Korea","Seoul, South Korea"
"Master of System Engineering Institute of Lottery Policy, Seoul, South Korea","Seoul, South Korea"
Hopson Group Co. LTD,Hopson Group Co. LTD
Wilfrid Laurier University,"Wilfrid Laurier University, 75 University Avenue West, Waterloo, ON N2L 3C5, Canada"
"Pace University White Plains, New York","The College of White Plains of Pace University, Crane Avenue, City of White Plains, NY 10603, United States of America"
"Beijing Guodiantong Network Technology Co. Ltd., Beijing, China","Beijing, Beijing Shi, China"
"Toronto Metropolitan University Toronto, Canada","Toronto, ON, Canada"
"York University Toronto, ON, Canada","Toronto, ON, Canada"
"Big data center of State Grid Corporation of China, China",China
"Big Data Center of State Grid Corporation of China Beijing, China","Beijing, Beijing Shi, China"
"University of Amsterdam Amsterdam, The Netherlands","University of Amsterdam, Spui, 1012 XA Amsterdam, Netherlands"
"University of Amsterdam, Amsterdam, Netherlands","University of Amsterdam, Spui, 1012 XA Amsterdam, Netherlands"
"Department of Computing, The Hong Kong Polytechnic University, China",China
"National School of Applied Sciences (ENSA) Ibn Tofail University, Kenitra, Morocco","Kenitra, Morocco"
"Associated Unit to CNRST (URAC 29) Faculty of Sciences, Mohammed V University, Rabat, Morocco","Rabat, Morocco"
"Zhongshan PoolNet Technology Co. Ltd, China",China
"Shanghai Key Laboratory of Data Science Fudan University, China",China
"Escuela Politécnica Hyperspectral Computing Laboratory, University of Extremadura, Cáceres, Spain","Cáceres, Extremadura, Spain"
"University of Iceland Reykjavik 102, Iceland","University of Iceland, Fífilsgata, 101 Reykjavik, Iceland"
"University of Chinese Academy of Sciences Beijing, China","100101 China, Beijing, Chaoyang District, 林萃东路, University of Chinese Academy of Sciences (Olympic Village Campus)"
"Institute of Microelectronics Chinese Academy of Sciences (IMECAS), Beijing, China","Beijing, Beijing Shi, China"
"Shanghai Key Laboratory of Data Science Fudan University, Shanghai, China","Shanghai, Shanghai Shi, China"
"School of Computer Science Fudan University, China",China
"Space Star Technology Company Ltd. Beijing, China","Beijing, Beijing Shi, China"
"Party school of Liaoning provincial Party committee Shenyang, P.R. China",China
"CINI Bari, Italy","Bari, Italy"
"American University Washington, DC, USA","American University, 4400 Massachusetts Avenue Northwest, Washington, DC 20016, United States of America"
"University of Bari Aldo Moro Bari, Italy","University of Bari ""Aldo Moro"", 70015 Noci BA, Italy"
"Consorzio Interuniversitario Nazionale per l' Informatica - CINI Università degli Studi Aldo Moro di Bari, Bari, Italy","Consorzio Interuniversitario Nazionale per l' Informatica - CINI Università degli Studi Aldo Moro di Bari, Bari, Italy"
"Hainan Province School of Administration Haikou, China","Haikou, Hainan, China"
"Faculty of Humanities Hainan Academy of Governance, Haikou, China","Haikou, Hainan, China"
"University of Technology Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"Taiyuan University of Science and Technology Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"Taiyuan University of Technology Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"Winnipeg MB, CA","Winnipeg, MB, Canada"
"University of Northern British Columbia Prince George, BC, Canada","University of Northern British Columbia, University Way, Prince George, BC V2M 5K7, Canada"
"University of PAP Xi’an, China","Xi'an, Shaanxi, China"
"Tianjin University of Commerce Tianjin, China","Tianjin Shi, China"
"Cardiff Metropolitan University Cardiff, UK","Cardiff Metropolitan University, Western Avenue, Cardiff, CF5 2YB, United Kingdom"
"Brunel University London London, UK","Brunel University London, Nursery Lane, London, UB8 3PG, United Kingdom"
"Microsoft, Redmond, WA","Redmond, Washington, United States of America"
"Simon Fraser University Burnaby, BC, Canada","Simon Fraser University, 8888 Naheeno Trail, Burnaby, BC V5A 1S6, Canada"
"University of Toronto Toronto, ON, Canada","University of Toronto, Spadina Avenue, Old Toronto, ON M5S 1J6, Canada"
"Army Academy of Amorced Forces Beijing, China","Beijing, Beijing Shi, China"
"Xinyang Industrial School Xinyang, China","Xinyang, Henan Sheng, China"
"31689 of The Chinese People's Liberation Army Troops, Siping, China","Siping, Jilin Sheng, China"
"66133 of The Chinese People's Liberation Army Troops, Beijing, China","Beijing, Beijing Shi, China"
"Esri, Inc.","Esri Building M, 371 New York Street, Redlands, CA 92373, United States of America"
"Wuhan University Wuhan, China","430072 China, Hubei, Hongshan District, 珞南街道, 八一路 299号, Wuhan University"
"Chuxiong Normal University Chuxiong, China","Chuxiong, Yunnan, China"
"ChuXiong Normal University chuxiong, china","Chuxiong, Yunnan, China"
"Malaysia City University, Malaysia","City University Malaysia, Jalan Bakar Batu, Taman Perbadanan Islam, 80150 Johor Bahru, Johor, Malaysia"
"Binzhou Vocational College, Shandong, China","Shandong Sheng, China"
"Yuzhang Normal University Nanchang, China","Nanchang, Jiangxi Sheng, China"
"Graphic Era Hill University Graphic Era Deemed to be University Dehradun, India","University, Lafayette County, Mississippi, United States of America"
"Graphic Era Deemed to be University Dehradun, Uttarakhand, India","Graphic Era (Deemed to be) University, 566/6, Bell Road, Dehradun District, Dehradun - 248001, Uttarakhand, India"
"Tula’s Institute Dehradun, India","Tula's Institute, selagate, Dehradun District, - 248011, Uttarakhand, India"
,
"National University of Defense Technology Changsha, China","410073 China, Hunan, Kaifu, Dongfenglu, 三一大道, National University of Defense Technology"
"National University of Defense Technology (NUDT) Changsha, China","Changsha, Changsha Shi, China"
"Changsha University, Changsha, China","410003 China, Hunan, 洪山街道, Xianglong Subdistrict, Dongshi Road, Changsha University"
"University of Hagen, Hagen, Germany","Hagen, North Rhine-Westphalia, Germany"
"RWTH Aachen University Aachen, Germany","RWTH Aachen University, Kurbrunnenstraße, 52066 Aachen, Germany"
"Institute of Informatics, LMU Munich, Germany","Munich, Bavaria, Germany"
"China Univ. of Min. & Technol. Beijing, China","Beijing, Beijing Shi, China"
"School of Mechanical Electronic & Information Engineering, China University of Mining & Technology, Beijing","Beijing, Beijing Shi, China"
"School of Computer Science Beijing,China","Beijing, Beijing Shi, China"
"Inst. of Comput. Technol., Beijing, China","Beijing, Beijing Shi, China"
"Taishan University Tai'an, China","271000 China, Shandong, Daiyue District, 东岳大街, Taishan University"
"Shaanxi Fashion Engineering University Xi'an, China","Xi'an, Shaanxi, China"
"Apurba Technologies, CA, USA","California, United States of America"
"1501 N Campbell Ave Tucson, AZ, USA","Banner University Medical Center Tucson, 1501 North Campbell Avenue, Tucson, AZ 85724, United States of America"
"440 N Wolfe Rd Sunnyvale, CA, USA","Plug and Play Tech Center, 440 North Wolfe Road, Sunnyvale, CA 94085, United States of America"
"Heihe University, Heihe, Hei Longjiang","Longjiang, Heilongjiang Sheng, China"
"Ltd Nanjing, China","Nanjing Nangang Industrial Development Co., Ltd. Power Project, Jiangbei New Area, Jiangsu, China"
"Jiangsu Electric Power Co. Ltd., Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Ordos Institute of Technology Ordos, China","Ordos, Inner Mongolia, China"
"Shanghai Engineering Research Center of Civil Aircraft Health Monitoring, Shanghai, China","Shanghai, Shanghai Shi, China"
"Shanghai Engineering Research Center of Civil Aircraft Monitoring, Shanghai, People's Republic of China","Republic, Missouri, United States of America"
"Baltimore County Baltimore, MD, USA","University of Maryland Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250, United States of America"
"MNR Shanghai, China","Shanghai, Shanghai Shi, China"
Shanghai Surveying and Mapping Institute,Shanghai Surveying and Mapping Institute
"Norwegian University of Science and Technology (NTNU) Trondheim, Norway","NTNU, Trondheim, Norway"
"UPC BarcelonaTECH CRAAX Lab, Vilanova, Spain","Vilanova i la Geltrú, Catalonia, Spain"
"UPC Barcelona Tech Vilanova i la Geltrú, Spain","Vilanova i la Geltrú, Catalonia, Spain"
"*Advanced Network Architectures Lab Vilanova, Spain","Vilanova i la Geltrú, Catalonia, Spain"
"Women's University JiNan, China","250300 China, Shandong, Changqing District, Guyunhu, 居里路, North Entrance of Shandong Women's University"
